rsi_period,overbought,oversold,total_profit_pips,total_profit_currency,num_trades,win_rate,profit_factor,max_drawdown,max_drawdown_pct,score,valid
30,75,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
29,75,25,2.600000000000559,2.600000000000559,2,50.0,1.1604938271605336,16.199999999999477,1.5901060070670863,491.1600000000009,True
18,70,25,26.00000000000559,26.0000000000056,20,50.0,1.1604938271605336,48.59999999999809,4.522613065326437,490.98000000000695,True
28,65,25,23.40000000000504,23.400000000005036,18,50.0,1.1604938271605336,45.99999999999784,4.515115822536105,490.30000000000655,True
29,65,25,23.40000000000504,23.400000000005036,18,50.0,1.1604938271605336,45.99999999999784,4.515115822536105,490.30000000000655,True
28,70,30,10.400000000002237,10.400000000002237,8,50.0,1.1604938271605336,32.399999999998954,3.1721167025650026,487.320000000003,True
23,70,30,20.800000000004474,20.800000000004474,16,50.0,1.1604938271605334,48.59999999999843,4.758175053847504,485.98000000000553,True
26,70,15,7.800000000001678,7.800000000001678,6,50.0,1.1604938271605338,32.399999999998954,3.1802120141341725,484.8200000000024,True
27,70,15,7.800000000001678,7.800000000001678,6,50.0,1.1604938271605338,32.399999999998954,3.1802120141341725,484.8200000000024,True
26,70,20,7.800000000001678,7.800000000001678,6,50.0,1.1604938271605338,32.399999999998954,3.1802120141341725,484.8200000000024,True
27,70,20,7.800000000001678,7.800000000001678,6,50.0,1.1604938271605338,32.399999999998954,3.1802120141341725,484.8200000000024,True
19,75,25,7.800000000001678,7.800000000001678,6,50.0,1.1604938271605338,32.399999999998954,3.1802120141341725,484.8200000000024,True
28,70,25,7.800000000001678,7.800000000001678,6,50.0,1.1604938271605338,32.399999999998954,3.1225905936776166,484.8200000000024,True
25,70,20,7.800000000001678,7.800000000001678,6,50.0,1.1604938271605338,32.399999999998954,3.1802120141341725,484.8200000000024,True
30,70,30,7.800000000001678,7.800000000001678,6,50.0,1.1604938271605338,32.399999999998954,3.1721167025650026,484.8200000000024,True
25,70,15,7.800000000001678,7.800000000001678,6,50.0,1.1604938271605338,32.399999999998954,3.1802120141341725,484.8200000000024,True
29,70,20,5.200000000001118,5.200000000001118,4,50.0,1.1604938271605336,32.399999999998954,3.1802120141341725,482.32000000000187,True
13,85,20,5.200000000001118,5.200000000001118,4,50.0,1.1604938271605336,32.399999999998954,3.1225905936776166,482.32000000000187,True
30,70,25,5.200000000001118,5.200000000001118,4,50.0,1.1604938271605336,32.399999999998954,3.1225905936776166,482.32000000000187,True
29,70,15,5.200000000001118,5.200000000001118,4,50.0,1.1604938271605336,32.399999999998954,3.1802120141341725,482.32000000000187,True
20,85,30,15.600000000003355,15.600000000003355,12,50.0,1.1604938271605334,48.59999999999843,4.734073641145367,480.98000000000445,True
19,85,30,15.600000000003355,15.600000000003355,12,50.0,1.1604938271605334,48.59999999999843,4.734073641145367,480.98000000000445,True
25,70,30,13.000000000002796,13.000000000002796,10,50.0,1.1604938271605336,45.99999999999784,4.503622478950246,480.30000000000433,True
22,70,15,13.000000000002796,13.0000000000028,10,50.0,1.1604938271605336,48.59999999999843,4.847396768401995,478.4800000000039,True
22,70,20,13.000000000002796,13.0000000000028,10,50.0,1.1604938271605336,48.59999999999843,4.847396768401995,478.4800000000039,True
24,70,25,10.400000000002237,10.400000000002237,8,50.0,1.1604938271605336,48.59999999999843,4.683885890516424,475.9800000000034,True
11,75,20,33.80000000000727,33.80000000000727,26,50.0,1.1604938271605336,80.99999999999739,7.910156249999736,475.8000000000091,True
16,75,30,31.200000000006717,31.200000000006714,24,50.0,1.1604938271605336,78.39999999999668,7.537012113054857,475.12000000000904,True
10,75,30,56.60000000001617,56.60000000001622,57,49.122807017543856,1.1204767986377562,102.99999999999363,9.521168422998032,472.8780701754592,True
15,70,35,56.60000000001616,56.60000000001622,57,49.122807017543856,1.1204767986377562,105.599999999994,9.572153734589648,471.0580701754589,True
17,75,25,13.0000000000028,13.000000000002792,10,50.0,1.1604938271605336,62.19999999999709,5.88792124195353,468.9600000000048,True
10,80,20,23.400000000005033,23.40000000000503,18,50.0,1.1604938271605336,80.99999999999727,7.786964045375622,465.800000000007,True
30,65,35,17.600000000007814,17.6000000000078,27,48.148148148148145,1.0776014109347813,54.39999999999554,5.425892679034063,459.6514814814924,True
11,75,25,35.80000000001172,35.80000000001175,41,48.78048780487805,1.105232216343365,89.39999999999509,8.870807699939961,458.97487804879563,True
19,70,30,20.20000000000837,20.200000000008362,29,48.275862068965516,1.0831275720164983,62.1999999999972,5.953292496171215,457.9686206896655,True
15,70,30,41.00000000001285,41.000000000012875,45,48.888888888888886,1.1100375738057273,100.39999999999338,10.013963694393908,457.35888888890634,True
22,70,30,7.2000000000055735,7.20000000000557,19,47.368421052631575,1.0444444444444803,48.59999999999843,4.746093749999841,445.9142105263224,True
15,75,30,20.200000000008384,20.200000000008362,29,48.275862068965516,1.0831275720164983,80.99999999999716,7.634307257304123,444.8086206896656,True
19,70,15,4.600000000005014,4.600000000005007,17,47.05882352941176,1.031550068587141,45.99999999999784,4.588071015359846,442.1382352941241,True
19,70,20,4.600000000005014,4.600000000005007,17,47.05882352941176,1.031550068587141,45.99999999999784,4.588071015359846,442.1382352941241,True
29,65,20,4.600000000005018,4.600000000005025,17,47.05882352941176,1.031550068587141,45.99999999999784,4.599999999999784,442.1382352941241,True
29,65,15,4.600000000005018,4.600000000005025,17,47.05882352941176,1.031550068587141,45.99999999999784,4.599999999999784,442.1382352941241,True
28,65,20,4.600000000005018,4.600000000005025,17,47.05882352941176,1.031550068587141,45.99999999999784,4.599999999999784,442.1382352941241,True
28,65,15,4.600000000005018,4.600000000005025,17,47.05882352941176,1.031550068587141,45.99999999999784,4.599999999999784,442.1382352941241,True
22,70,35,22.80000000000892,22.80000000000894,31,48.38709677419355,1.0879629629630003,91.99999999999568,8.984374999999568,440.7209677419474,True
6,85,15,22.800000000008925,22.800000000008936,31,48.38709677419355,1.0879629629630003,97.19999999999686,9.492187499999682,437.0809677419466,True
23,70,35,20.200000000008373,20.200000000008362,29,48.275862068965516,1.0831275720164983,95.19999999999209,9.152086137280525,434.8686206896691,True
12,85,30,22.800000000008918,22.800000000008936,31,48.38709677419355,1.0879629629630003,100.39999999999338,9.603979338051772,434.84096774194904,True
15,70,20,17.600000000007807,17.600000000007814,27,48.148148148148145,1.0776014109347813,91.99999999999568,9.03023164507221,433.3314814814923,True
11,75,15,12.400000000006685,12.400000000006692,23,47.82608695652174,1.0637860082304893,80.99999999999739,8.058097890966701,432.81086956522597,True
21,85,35,12.400000000006685,12.400000000006688,23,47.82608695652174,1.0637860082304893,80.99999999999739,8.058097890966701,432.81086956522597,True
7,80,25,35.60000000001618,35.60000000001621,56,48.214285714285715,1.0757769263516752,121.7999999999937,11.259012756516233,429.68285714287776,True
16,80,35,25.400000000009474,25.4000000000095,33,48.484848484848484,1.0922294843863847,116.59999999999275,11.153625406542238,426.9784848484994,True
13,75,30,14.40000000001114,14.400000000011147,38,47.368421052631575,1.04444444444448,86.79999999999438,8.344549125167692,425.42421052633085,True
13,70,30,19.000000000016133,19.000000000016165,55,47.27272727272727,1.040442741592202,91.99999999999568,9.176142030719692,424.57727272729187,True
16,80,30,7.200000000005581,7.200000000005584,19,47.368421052631575,1.0444444444444803,80.99999999999739,8.078994614003324,423.2342105263231,True
